Site,SiteTown,Date,Time,Recorders,Temperature_°C,Humidity_%,Rain,Cloud_cover_%,Wind,Transect_ID,Latitude,Longitude,Site_type,Section,WFMeadow%,Amenity_grass%,Woodland%,Scrub%,Ornamental%,Herbal%,Semi-improved_grassland,Rough_grassland%,Concrete%,Plant_species,Pollinator_species_sample_code,Notes,Species_Order,Species_Family,Habitat_type,Functional_morphotypes,Broad_group
MS4,Penryn,07/06/2022,12:20,"Olly, Rakshi, Lucy, Alba",23.5,55,0,51-75,0,1,,,Restored,2,0,100,0,0,0,0,0,0,0,0,0,0,0,0,Amenity,,
MS4,Penryn,07/06/2022,12:22,"Olly, Rakshi, Lucy, Alba",23.5,55,0,51-75,0,1,,,Restored,3,0,100,0,0,0,0,0,0,0,0,0,0,0,0,Amenity,,
MS4,Penryn,07/06/2022,12:35,"Olly, Rakshi, Lucy, Alba",23.5,55,0,51-75,0,1,,,Restored,5,0,100,0,0,0,0,0,0,0,0,0,0,0,0,Amenity,,
MS4,Penryn,07/06/2022,12:38,"Olly, Rakshi, Lucy, Alba",23.5,55,0,51-75,0,1,50.1063135,-5.1015294,Restored,6,0,100,0,0,0,0,0,0,0,0,0,0,0,0,Amenity,,
MS4,Penryn,07/06/2022,12:47,"Olly, Rakshi, Lucy, Alba",23.5,55,0,51-75,0,2,,,Restored,8,0,100,0,0,0,0,0,0,0,0,0,0,0,0,Amenity,,
MS4,Penryn,07/06/2022,12:49,"Olly, Rakshi, Lucy, Alba",23.5,55,0,51-75,0,2,,,Restored,9,0,100,0,0,0,0,0,0,0,0,0,0,0,0,Amenity,,
MS4,Penryn,07/06/2022,12:10,"Olly, Rakshi, Lucy, Alba",23.5,55,0,51-75,0,1,,,Restored,1,0,90,0,0,10,0,0,0,0,Cirsium_rivulare_'Atropurpureum',Aphididae_gen.,,Hemiptera,Aphididae,Ornamental_herb,Bugs,Bugs
MS4,Penryn,07/06/2022,12:12,"Olly, Rakshi, Lucy, Alba",23.5,55,0,51-75,0,1,,,Restored,1,0,90,0,0,10,0,0,0,0,Cirsium_rivulare_'Atropurpureum',Aphididae_gen.,,Hemiptera,Aphididae,Ornamental_herb,Bugs,Bugs
MS4,Penryn,07/06/2022,12:14,"Olly, Rakshi, Lucy, Alba",23.5,55,0,51-75,0,1,,,Restored,1,0,90,0,0,10,0,0,0,0,Cirsium_rivulare_'Atropurpureum',Aphididae_gen.,,Hemiptera,Aphididae,Ornamental_herb,Bugs,Bugs
MS4,Penryn,07/06/2022,12:15,"Olly, Rakshi, Lucy, Alba",23.5,55,0,51-75,0,1,,,Restored,1,0,90,0,0,10,0,0,0,0,Cirsium_rivulare_'Atropurpureum',Aphididae_gen.,,Hemiptera,Aphididae,Ornamental_herb,Bugs,Bugs
MS4,Penryn,07/06/2022,12:16,"Olly, Rakshi, Lucy, Alba",23.5,55,0,51-75,0,1,,,Restored,1,0,90,0,0,10,0,0,0,0,Cirsium_rivulare_'Atropurpureum',Aphididae_gen.,,Hemiptera,Aphididae,Ornamental_herb,Bugs,Bugs
MS4,Penryn,07/06/2022,12:18,"Olly, Rakshi, Lucy, Alba",23.5,55,0,51-75,0,1,,,Restored,1,0,90,0,0,10,0,0,0,0,Cirsium_rivulare_'Atropurpureum',Aphididae_gen.,,Hemiptera,Aphididae,Ornamental_herb,Bugs,Bugs
MS4,Penryn,07/06/2022,12:05,"Olly, Rakshi, Lucy, Alba",23.5,55,0,51-75,0,1,,,Restored,1,0,90,0,0,10,0,0,0,0,Allium_schoenoprasum,White/Buff_Tailed_Bumblebee,Pics_4736-41,Hymenoptera,Apidae,Ornamental_herb,Bumblebees,Bees
MS4,Penryn,07/06/2022,12:05,"Olly, Rakshi, Lucy, Alba",23.5,55,0,51-75,0,1,50.166348,-5.102371,Restored,1,0,90,0,0,10,0,0,0,0,Stachys_byzantina,White/Buff_Tailed_Bumblebee,,Hymenoptera,Apidae,Ornamental_herb,Bumblebees,Bees
MS4,Penryn,07/06/2022,12:05,"Olly, Rakshi, Lucy, Alba",23.5,55,0,51-75,0,1,,,Restored,1,0,90,0,0,10,0,0,0,0,Allium_schoenoprasum,Empididae_gen.,,Diptera,Empididae,Ornamental_herb,Other_flies,Flies
MS4,Penryn,07/06/2022,12:55,"Olly, Rakshi, Lucy, Alba",23.5,55,0,51-75,0,2,,,Restored,10,0,50,0,0,0,50,0,0,0,Tanacetum_parthenium,Anthocoris_nemorum,,Hemiptera,Anthocoridae,Ornamental_herb,Bugs,Bugs
MS4,Penryn,07/06/2022,12:29,"Olly, Rakshi, Lucy, Alba",23.5,55,0,51-75,0,1,,,Restored,4,0,50,0,0,0,50,0,0,0,Stachys_byzantina,White/Buff_Tailed_Bumblebee,,Hymenoptera,Apidae,Ornamental_herb,Bumblebees,Bees
MS4,Penryn,07/06/2022,12:56,"Olly, Rakshi, Lucy, Alba",23.5,55,0,51-75,0,2,50.16639,-5.101895,Restored,10,0,50,0,0,0,50,0,0,0,Thymus_vulgaris,White/Buff_Tailed_Bumblebee,,Hymenoptera,Apidae,Ornamental_herb,Bumblebees,Bees
MS4,Penryn,07/06/2022,12:52,"Olly, Rakshi, Lucy, Alba",23.5,55,0,51-75,0,2,,,Restored,10,0,50,0,0,0,50,0,0,0,Tanacetum_parthenium,Oedemera_nobilis,,Coleoptera,Oedemeridae,Ornamental_herb,Coleoptera,Beetles
MS4,Penryn,07/06/2022,12:24,"Olly, Rakshi, Lucy, Alba",23.5,55,0,51-75,0,1,,,Restored,4,0,50,0,0,0,50,0,0,0,Stachys_byzantina,Anthomyiidae_gen.,,Diptera,Anthomyiidae,Ornamental_herb,Other_flies,Flies
MS4,Penryn,07/06/2022,12:32,"Olly, Rakshi, Lucy, Alba",23.5,55,0,51-75,0,1,,,Restored,4,0,50,0,0,0,50,0,0,0,Tanacetum_parthenium,Agromyzidae_gen.,,Diptera,Agromyzidae,Ornamental_herb,Other_flies,Flies
MS4,Penryn,07/06/2022,12:53,"Olly, Rakshi, Lucy, Alba",23.5,55,0,51-75,0,2,,,Restored,10,0,50,0,0,0,50,0,0,0,Tanacetum_parthenium,Diptera,,Diptera,NA,Ornamental_herb,Other_flies,Flies
MS4,Penryn,07/06/2022,12:27,"Olly, Rakshi, Lucy, Alba",23.5,55,0,51-75,0,1,,,Restored,4,0,50,0,0,0,50,0,0,0,Tanacetum_parthenium,Hylemya_spp.,,Diptera,Anthomyiidae,Ornamental_herb,Other_flies,Flies
MS4,Penryn,07/06/2022,12:31,"Olly, Rakshi, Lucy, Alba",23.5,55,0,51-75,0,1,,,Restored,4,0,50,0,0,0,50,0,0,0,Tanacetum_parthenium,Chalcidoidea_fam.,,Hymenoptera,NA,Ornamental_herb,Other_Hymenoptera,Wasps
MS4,Penryn,07/06/2022,12:25,"Olly, Rakshi, Lucy, Alba",23.5,55,0,51-75,0,1,,,Restored,4,0,50,0,0,0,50,0,0,0,Tanacetum_parthenium,Andrena_spp.,,Hymenoptera,Andrenidae,Ornamental_herb,Solitary_bees,Bees
MS4,Penryn,07/06/2022,12:40,"Olly, Rakshi, Lucy, Alba",23.5,55,0,51-75,0,2,50.1663919,-5.1013647,Restored,7,60,40,0,0,0,0,0,0,0,Sonchus_oleraceus,Apis_mellifera,,Hymenoptera,Apidae,Wildflower,Apis_mellifera,Bees
MS4,Penryn,07/06/2022,12:45,"Olly, Rakshi, Lucy, Alba",23.5,55,0,51-75,0,2,,,Restored,7,60,40,0,0,0,0,0,0,0,Sonchus_oleraceus,Lasioglossum_morio,,Hymenoptera,Halictidae,Wildflower,Solitary_bees,Bees
UR4,Penryn,07/06/2022,15:05,"Olly, Rakshi, Lucy, Alba",22,55,0,76-105,Light_breeze,1,,,Unrestored,3,0,100,0,0,0,0,0,0,0,Trifolium_repens,Bombus_lapidarius,,Hymenoptera,Apidae,Amenity,Bumblebees,Bees
UR4,Penryn,07/06/2022,15:13,"Olly, Rakshi, Lucy, Alba",22,55,0,76-113,Light_breeze,1,,,Unrestored,7,0,50,0,0,0,0,0,50,0,Trifolium_repens,White/Buff_Tailed_Bumblebee,,Hymenoptera,Apidae,Amenity,Bumblebees,Bees
UR4,Penryn,07/06/2022,15:06,"Olly, Rakshi, Lucy, Alba",22,55,0,76-106,Light_breeze,1,,,Unrestored,3,0,100,0,0,0,0,0,0,0,Trifolium_repens,White/Buff_Tailed_Bumblebee,,Hymenoptera,Apidae,Amenity,Bumblebees,Bees
