"study_ID","title","abstract","doi","author","year","journal","full_text","pollinator_match","flower_match","outcome_match"
596,"The potential for wildflower interventions to enhance natural enemies and pollinators in commercial apple orchards is limited by other management practices","Modern fruit production has successfully increased yields and fruit quality to meet market demands mainly through intensification and the use of Plant Protection Products (PPPs). Due to the associated environmental impacts and consumers increasingly demanding food produced more sustainably, the tree fruit sector is seeking to reduce its reliance on PPPs. Despite intensification, apple production is still highly dependent on ecosystem services, including pest regulation and pollination. The aim of this study was to investigate the response of natural enemies and pollinators in commercial apple orchards to the provision of a wildflower habitat. It was hypothesised that the abundance and diversity of beneficial invertebrate species would be enhanced leading to an increased control of apple pests and enhanced pollination of apple blossom. We also investigated the effect of orchard pesticide toxicity on natural enemies and pest regulation services and how responses varied between apple cultivars (Jazz and Braeburn). The study was carried out in five orchards of each apple variety across Kent (UK), using a split-plot experimental design. At each site, a one-hectare orchard plot was established with wildflower strips in alleyways between rows of trees and compared with a one-hectare control plot where alleyways were managed conventionally with regular cuffing. Responses of natural enemies and pollinators were recorded over a period of three and four years, respectively. The presence of wildflower strips did not contribute significantly towards the delivery of natural pest regulation or pollination services. However, hoverfly diversity and species richness were greater in orchards with wildflower strips, and whilst this was not associated with increased rates of pest regulation, such a response could potentially provide more resilient pest regulation and pollination services. Braeburn orchards had higher bee abundance, and pest predation rates, which were associated with a greater abundance of earwigs, compared to Jazz orchards. Of key significance for growers is that high values of cumulative pesticide toxicity negatively affected natural enemy populations, especially earwigs. If growers want to support natural enemies and wild pollinators in modern apple orchards following the principles of ecological intensification, they need to consider both the types and frequency of pesticide sprays used, in conjunction with interventions aimed at promoting beneficial invertebrates.","10.1016/j.agee.2020.107034","McKerchar, M. and Potts, S.G. and Fountain, M.T. and Garratt, M.P.D. and Westbury, D.B. (d.westbury@worc.ac.uk)",2020,"AGRICULTURE ECOSYSTEMS & ENVIRONMENT","The potential for wildflower interventions to enhance natural enemies and pollinators in commercial apple orchards is limited by other management practices Modern fruit production has successfully increased yields and fruit quality to meet market demands mainly through intensification and the use of Plant Protection Products (PPPs). Due to the associated environmental impacts and consumers increasingly demanding food produced more sustainably, the tree fruit sector is seeking to reduce its reliance on PPPs. Despite intensification, apple production is still highly dependent on ecosystem services, including pest regulation and pollination. The aim of this study was to investigate the response of natural enemies and pollinators in commercial apple orchards to the provision of a wildflower habitat. It was hypothesised that the abundance and diversity of beneficial invertebrate species would be enhanced leading to an increased control of apple pests and enhanced pollination of apple blossom. We also investigated the effect of orchard pesticide toxicity on natural enemies and pest regulation services and how responses varied between apple cultivars (Jazz and Braeburn). The study was carried out in five orchards of each apple variety across Kent (UK), using a split-plot experimental design. At each site, a one-hectare orchard plot was established with wildflower strips in alleyways between rows of trees and compared with a one-hectare control plot where alleyways were managed conventionally with regular cuffing. Responses of natural enemies and pollinators were recorded over a period of three and four years, respectively. The presence of wildflower strips did not contribute significantly towards the delivery of natural pest regulation or pollination services. However, hoverfly diversity and species richness were greater in orchards with wildflower strips, and whilst this was not associated with increased rates of pest regulation, such a response could potentially provide more resilient pest regulation and pollination services. Braeburn orchards had higher bee abundance, and pest predation rates, which were associated with a greater abundance of earwigs, compared to Jazz orchards. Of key significance for growers is that high values of cumulative pesticide toxicity negatively affected natural enemy populations, especially earwigs. If growers want to support natural enemies and wild pollinators in modern apple orchards following the principles of ecological intensification, they need to consider both the types and frequency of pesticide sprays used, in conjunction with interventions aimed at promoting beneficial invertebrates.",TRUE,TRUE,TRUE
1779,"Small areas of wildflower grassland in urban areas support significant species richness and abundance of pollinating insects","1. Diversity of invertebrate pollinators is essential in supporting flowering plant species richness, including agricultural crops. In the UK, losses are reported for bees, hoverflies, butterflies and moths. Urban green spaces are essential retugia for these groups, and restoration of these areas can improve pollinator diversity through improved floral resources. 2. Our research aimed to compare two differently managed areas of urban amenity grassland for their insect pollinators, with transect surveys of butterflies, bumblebees, solitary bees and hoverflies. 3. Our results revealed that even in an urban matrix, a small area of wildflower meadow had significantly higher insect abundance and species richness than a comparable amenity grassland. Both abundance and species richness of pollinating insects was positively related to floral species richness. 4. The wildflower grassland supported a number of notable solitary bee species and numerous hoverflies, although visitation by solitary bees was confined to only a small number of flowering plants, exhibiting visitation specialisation; however many of these plant species were not visited by other taxa.","10.31184/G00138894.712.1724","Hutchinson, Louise and Norrey, John and Lockton, Alex and Coulthard, Emma (e.coulthard@mmu.ac.uk)",2020,"ENTOMOLOGIST'S GAZETTE","Small areas of wildflower grassland in urban areas support significant species richness and abundance of pollinating insects 1. Diversity of invertebrate pollinators is essential in supporting flowering plant species richness, including agricultural crops. In the UK, losses are reported for bees, hoverflies, butterflies and moths. Urban green spaces are essential retugia for these groups, and restoration of these areas can improve pollinator diversity through improved floral resources. 2. Our research aimed to compare two differently managed areas of urban amenity grassland for their insect pollinators, with transect surveys of butterflies, bumblebees, solitary bees and hoverflies. 3. Our results revealed that even in an urban matrix, a small area of wildflower meadow had significantly higher insect abundance and species richness than a comparable amenity grassland. Both abundance and species richness of pollinating insects was positively related to floral species richness. 4. The wildflower grassland supported a number of notable solitary bee species and numerous hoverflies, although visitation by solitary bees was confined to only a small number of flowering plants, exhibiting visitation specialisation; however many of these plant species were not visited by other taxa.",TRUE,TRUE,TRUE
51,"Sown wildflowers enhance habitats of pollinators and beneficial arthropods in a tomato field margin","We evaluated the capacity of selected plants, sown along a processing tomato field margin in central Greece and natural vegetation, to attract beneficial and Hymenoptera pollinating insects and questioned whether they can distract pollinators from crop flowers. Measurements of flower cover and attracted pollinators and beneficial arthropods were recorded from early-May to mid-July, during the cultivation period of the crop. Flower cover was higher in the sown mixtures compared to natural vegetation and was positively correlated with the number of attracted pollinators. The sown Glebionis coronaria, Coriandrum sativum, Anethum graveolens, and Fagopyrum esculentum attracted mainly wild bees, which were the most abundant pollinating insects. In the natural vegetation, Rapistrum rugosum attracted mainly honeybees, while Asteraceae, Convolvulaceae, and Apiaceae species attracted wild bees. Beneficial arthropod abundance and diversity were higher in the sown mixture. Tomato flowers were visited by a small number of wild bees. Their number was not affected by the distance from the field margin, indicating no distraction effect from the sown or natural vegetation flowering plants. Our results suggest that selected flowering plants can improve the field margin habitats for pollinating insects and beneficial arthropods, but more work is needed to elucidate the effect on crop pollination.","10.3390/plants10051003","Kati, V and Karamaouna, F and Economou, L and Mylona, P and Samara, M and Mitroiu, MD and Barda, M and Edwards, M and Liberopoulou, S",2021,"PLANTS-BASEL","Sown wildflowers enhance habitats of pollinators and beneficial arthropods in a tomato field margin We evaluated the capacity of selected plants, sown along a processing tomato field margin in central Greece and natural vegetation, to attract beneficial and Hymenoptera pollinating insects and questioned whether they can distract pollinators from crop flowers. Measurements of flower cover and attracted pollinators and beneficial arthropods were recorded from early-May to mid-July, during the cultivation period of the crop. Flower cover was higher in the sown mixtures compared to natural vegetation and was positively correlated with the number of attracted pollinators. The sown Glebionis coronaria, Coriandrum sativum, Anethum graveolens, and Fagopyrum esculentum attracted mainly wild bees, which were the most abundant pollinating insects. In the natural vegetation, Rapistrum rugosum attracted mainly honeybees, while Asteraceae, Convolvulaceae, and Apiaceae species attracted wild bees. Beneficial arthropod abundance and diversity were higher in the sown mixture. Tomato flowers were visited by a small number of wild bees. Their number was not affected by the distance from the field margin, indicating no distraction effect from the sown or natural vegetation flowering plants. Our results suggest that selected flowering plants can improve the field margin habitats for pollinating insects and beneficial arthropods, but more work is needed to elucidate the effect on crop pollination.",TRUE,TRUE,TRUE
795,"The impact of wildflower habitat on insect functional group abundance in turfgrass systems","Simple Summary Turfgrass is a prevalent ground cover type within urban areas, and is found on large swathes of commercial, residential, and recreational land. Turfgrass supports low biodiversity compared with more diverse vegetation communities. One increasingly popular method for supporting arthropod communities in urban areas is to plant wildflowers in available spaces using a commercial seed mix, which can support beneficial insects such as butterflies, bees, and natural enemies. However, the long-term impacts of these wildflower habitats on arthropod communities in turfgrass systems is poorly known. To explore this, we used pan traps to sample insects from turfgrass systems adjacent to wildflower plots over three years and quantified how different insect groups changed in abundance. We found that different insect groups had variable changes in abundance over time, with sweat bees (Halicitdae) and skipper butterflies (Hesperiidae) being less abundant two years after wildlife implementation, and predatory flies showing boosted abundance for two years post-implementation. These results point to the complex dynamics of arthropod communities in turfgrass systems following wildflower implementation and the need to study how to best maintain these habitats to support long-term biodiversity.Abstract Urbanization is rapidly influencing the abundance and diversity of arthropods. Within urban systems, managed turfgrass is a prominent land cover which can support only a limited number of arthropod groups. To allow for more arthropod biodiversity and to support beneficial insects within turfgrass, increasing numbers of land managers are choosing to partially convert turf habitat to wildflower habitat using commercially available seed mixes. However, the population dynamics of arthropod groups in these systems are poorly known, with consequentially little information on best long-term practices for managing wildflower habitats in turfgrass systems. To address this gap, we sampled insects using pan traps in turfgrass systems pre- and post-implementation of wildflower habitats and examined the change in abundance of several insect families and functional guilds. Insect groups had variable responses to wildflower habitat implementation, with some groups such as sweat bees and skipper butterflies showing a decline two years post-implementation. Other groups, such as predatory flies, were relatively more abundant one and two years post-implementation. These variable responses point to the need for more research on the long-term effects of wildflower habitats on beneficial insects in turfgrass habitats.","10.3390/insects15070520","Hamon, LE and Kilpatrick, LD and Billeisen, TL",2024,"INSECTS","The impact of wildflower habitat on insect functional group abundance in turfgrass systems Simple Summary Turfgrass is a prevalent ground cover type within urban areas, and is found on large swathes of commercial, residential, and recreational land. Turfgrass supports low biodiversity compared with more diverse vegetation communities. One increasingly popular method for supporting arthropod communities in urban areas is to plant wildflowers in available spaces using a commercial seed mix, which can support beneficial insects such as butterflies, bees, and natural enemies. However, the long-term impacts of these wildflower habitats on arthropod communities in turfgrass systems is poorly known. To explore this, we used pan traps to sample insects from turfgrass systems adjacent to wildflower plots over three years and quantified how different insect groups changed in abundance. We found that different insect groups had variable changes in abundance over time, with sweat bees (Halicitdae) and skipper butterflies (Hesperiidae) being less abundant two years after wildlife implementation, and predatory flies showing boosted abundance for two years post-implementation. These results point to the complex dynamics of arthropod communities in turfgrass systems following wildflower implementation and the need to study how to best maintain these habitats to support long-term biodiversity.Abstract Urbanization is rapidly influencing the abundance and diversity of arthropods. Within urban systems, managed turfgrass is a prominent land cover which can support only a limited number of arthropod groups. To allow for more arthropod biodiversity and to support beneficial insects within turfgrass, increasing numbers of land managers are choosing to partially convert turf habitat to wildflower habitat using commercially available seed mixes. However, the population dynamics of arthropod groups in these systems are poorly known, with consequentially little information on best long-term practices for managing wildflower habitats in turfgrass systems. To address this gap, we sampled insects using pan traps in turfgrass systems pre- and post-implementation of wildflower habitats and examined the change in abundance of several insect families and functional guilds. Insect groups had variable responses to wildflower habitat implementation, with some groups such as sweat bees and skipper butterflies showing a decline two years post-implementation. Other groups, such as predatory flies, were relatively more abundant one and two years post-implementation. These variable responses point to the need for more research on the long-term effects of wildflower habitats on beneficial insects in turfgrass habitats.",TRUE,TRUE,TRUE
1268,"Enhanced urban roadside vegetation increases pollinator abundance whereas landscape characteristics drive pollination","Roads cause pollution, habitat degradation and fragmentation, while recent studies report that roadside vege-tation can benefit plant and insect diversity. However, the factors that drive effects of roadside vegetation on pollinator abundance and pollination need further attention. Our main interest in this study was to evaluate urban roadside enhancement by identifying direct and indirect effects of local resource availability and land-scape characteristics on pollinator abundance and quality of pollination, by using functionally different phy-tometer plants. Thus, we established 34 species-rich wildflower patches along urban roads, and monitored flowering species and floral density at the local scale. At the landscape scale we measured the amount of impervious surface within a radius of 500 m around the wildflower patches, as well as edge density of all major land-use types, and distance to the city center. As control, we used 34 patches with existing species-poor roadside green. The abundance of pollinators, i.e., honeybees, wild bees, and hoverflies, was sampled with colored pan traps. Pollination was monitored based on fruit number and weight of three phytometer species, i.e., Fragaria x ananassa, Ranunculus acris, and Trifolium pratense, that differ in flower morphology and color, and attract different pollinators. Pollinator abundance was positively related to local richness of flowering plants and floral density. At the landscape scale, pollinator abundance was positively related to the proportion of impervious surface but negatively to edge density. Phytometer-specific effects on pollination were moderated by landscape characteristics: Fruit mass of F. x. ananassa was highest in the inner city, fruit number of R. acris was lower in areas with high edge density, whereas in T. pratense fruit number increased with edge density, and was nega-tively related with the proportion of impervious surface. There were no indirect effects of local and landscape factors via pollinator abundance on pollination. The study of the three phytometer species revealed that roadside enhancement can directly support fruit production in wild plants and crops in cities. Thereby, different landscape characteristics influenced the quality of fruit set, which also depended on individual plant reproductive adap-tations. This stresses the importance of using a set of complementary phytometer species in pollination experi-ments, especially to gain insights into ecosystem functioning at coarser spatial scales.","10.1016/j.ecolind.2023.109980","Dietzel, Simon (simon.dietzel@tum.de) and Rojas-Botero, Sandra and Kollmann, Johannes and Fischer, Christina",2023,"ECOLOGICAL INDICATORS","Enhanced urban roadside vegetation increases pollinator abundance whereas landscape characteristics drive pollination Roads cause pollution, habitat degradation and fragmentation, while recent studies report that roadside vege-tation can benefit plant and insect diversity. However, the factors that drive effects of roadside vegetation on pollinator abundance and pollination need further attention. Our main interest in this study was to evaluate urban roadside enhancement by identifying direct and indirect effects of local resource availability and land-scape characteristics on pollinator abundance and quality of pollination, by using functionally different phy-tometer plants. Thus, we established 34 species-rich wildflower patches along urban roads, and monitored flowering species and floral density at the local scale. At the landscape scale we measured the amount of impervious surface within a radius of 500 m around the wildflower patches, as well as edge density of all major land-use types, and distance to the city center. As control, we used 34 patches with existing species-poor roadside green. The abundance of pollinators, i.e., honeybees, wild bees, and hoverflies, was sampled with colored pan traps. Pollination was monitored based on fruit number and weight of three phytometer species, i.e., Fragaria x ananassa, Ranunculus acris, and Trifolium pratense, that differ in flower morphology and color, and attract different pollinators. Pollinator abundance was positively related to local richness of flowering plants and floral density. At the landscape scale, pollinator abundance was positively related to the proportion of impervious surface but negatively to edge density. Phytometer-specific effects on pollination were moderated by landscape characteristics: Fruit mass of F. x. ananassa was highest in the inner city, fruit number of R. acris was lower in areas with high edge density, whereas in T. pratense fruit number increased with edge density, and was nega-tively related with the proportion of impervious surface. There were no indirect effects of local and landscape factors via pollinator abundance on pollination. The study of the three phytometer species revealed that roadside enhancement can directly support fruit production in wild plants and crops in cities. Thereby, different landscape characteristics influenced the quality of fruit set, which also depended on individual plant reproductive adap-tations. This stresses the importance of using a set of complementary phytometer species in pollination experi-ments, especially to gain insights into ecosystem functioning at coarser spatial scales.",TRUE,TRUE,TRUE
1726,"Microhabitats of planted sea wall strips used by pollinators and orthoptera","As part of an Urban Buzz scheme, strips of teasel (Dipsacus fullonum) and greater knapweed (Centaurea scabiosa) have been established along a sea wall flood defense in the UK to provide a corridor of flower-rich habitat for pollinators such as bees and butterflies. The cutting of tall grassland and planting of dicotyledons also created a suitable short sward environment (c. 30 cm height) for Orthoptera nymphs in the establishment year (2018). I lowever, by 2019, the grassland in the pollinator strips was taller (c. 75 cm) and suboptimal for grasshoppers; in contrast to Roesel's bushcricket (Roeseliana roeselii), which inhabited the taller vegetation in greater abundance. The progression to established grassland with flowering D. fut.lonztm saw the pollinator strips attract significantly higher numbers of bees and butterflies than the floristically poor control strips. This small-scale study illustrates that pollinator strips can have multi-functional benefits for ecosystems beyond pollination, with Orthoptera of tall grassland (R. roeselii) likely to persist alongside planted wildflowers.",NA,"Gardiner, Tim (tim.gardiner@environment-agency.gov.uk) and Fargeaud, Kimberley",2020,"JOURNAL OF ORTHOPTERA RESEARCH","Microhabitats of planted sea wall strips used by pollinators and orthoptera As part of an Urban Buzz scheme, strips of teasel (Dipsacus fullonum) and greater knapweed (Centaurea scabiosa) have been established along a sea wall flood defense in the UK to provide a corridor of flower-rich habitat for pollinators such as bees and butterflies. The cutting of tall grassland and planting of dicotyledons also created a suitable short sward environment (c. 30 cm height) for Orthoptera nymphs in the establishment year (2018). I lowever, by 2019, the grassland in the pollinator strips was taller (c. 75 cm) and suboptimal for grasshoppers; in contrast to Roesel's bushcricket (Roeseliana roeselii), which inhabited the taller vegetation in greater abundance. The progression to established grassland with flowering D. fut.lonztm saw the pollinator strips attract significantly higher numbers of bees and butterflies than the floristically poor control strips. This small-scale study illustrates that pollinator strips can have multi-functional benefits for ecosystems beyond pollination, with Orthoptera of tall grassland (R. roeselii) likely to persist alongside planted wildflowers.",TRUE,TRUE,TRUE
2591,"Pollination service delivery is complex: urban garden crop yields are best explained by local canopy cover and garden scale plant species richness","Pollination is an important ecosystem service to agriculture, however, the factors influencing pollination in urban food gardens are poorly understood. We investigated how features within urban environments, including floral resources and canopy cover, impacted (a) flower visitation and seed production of a model plant (Brassica rapa) and (b) total yields of produce from urban gardens in Sydney, Australia. Floral visitation to model plants was dominated by a few common species, with honeybees responsible for 53.4% of visitation and native stingless bees and two hoverfly species accounting for another 37.1% of visitors; 28 other species were collectively responsible for less than 10% of visitation. While insect pollinators were abundant, the relationship between floral visitation and model plant reproductive output was weak and not always positive. The pollination success of model plants was only marginally impacted by environmental features, while pollinator visitation had a small negative impact. However, total crop yields across urban gardens were strongly influenced by local canopy cover and garden scale plant species richness. Synthesis and applications. The factors influencing pollination service delivery to urban gardens are complex; pollinator visitation, richness and/or floral resource availability may not always reflect positive, plant reproductive outcomes. Yields of garden crops, whether pollinator dependent or not, were more strongly influenced by surrounding environmental variables, including broad scale measures of canopy cover and local plant diversity, than pollination-related metrics. This implies policies to support pollinator richness will likely differ to those supporting crop yields in urban gardens and will require assessment and management of external environmental factors.","10.1111/1365-2664.14136","McDougall, R. & Kristiansen, P. & Latty, T. & Jones, J. & Rader, R.",2022,"Journal of Applied Ecology","Pollination service delivery is complex: urban garden crop yields are best explained by local canopy cover and garden scale plant species richness Pollination is an important ecosystem service to agriculture, however, the factors influencing pollination in urban food gardens are poorly understood. We investigated how features within urban environments, including floral resources and canopy cover, impacted (a) flower visitation and seed production of a model plant (Brassica rapa) and (b) total yields of produce from urban gardens in Sydney, Australia. Floral visitation to model plants was dominated by a few common species, with honeybees responsible for 53.4% of visitation and native stingless bees and two hoverfly species accounting for another 37.1% of visitors; 28 other species were collectively responsible for less than 10% of visitation. While insect pollinators were abundant, the relationship between floral visitation and model plant reproductive output was weak and not always positive. The pollination success of model plants was only marginally impacted by environmental features, while pollinator visitation had a small negative impact. However, total crop yields across urban gardens were strongly influenced by local canopy cover and garden scale plant species richness. Synthesis and applications. The factors influencing pollination service delivery to urban gardens are complex; pollinator visitation, richness and/or floral resource availability may not always reflect positive, plant reproductive outcomes. Yields of garden crops, whether pollinator dependent or not, were more strongly influenced by surrounding environmental variables, including broad scale measures of canopy cover and local plant diversity, than pollination-related metrics. This implies policies to support pollinator richness will likely differ to those supporting crop yields in urban gardens and will require assessment and management of external environmental factors.",TRUE,TRUE,TRUE
2613,"Pollinators respond positively to urban green space enhancements using wild and ornamental flowers","Pollinator diversity and abundance are under direct threat from human activities. Despite societal dependence on pollinators for crop production, humankind continues to drive pollinator declines through agricultural intensification and urbanisation.
Urban environments can provide refuge to some pollinators. There is a need, however, to understand how pollinator communities can be supported in these areas while also considering human needs. Public green spaces provide a promising avenue to target plant–pollinator conservation measures in an urban setting due to their large area, high abundance and low plant–pollinator biodiversity.
We used a paired design to compare the plant community, pollinator community and plant–pollinator interactions of (i) public urban green spaces enhanced with wildflower meadows and pollinator-friendly ornamental plantings to (ii) control unenhanced urban green spaces. The planting types within enhanced sites were also separately compared.
Our results show that not only was the diversity of the overall pollinator community higher in enhanced than control sites, but also the complexity of some wild Hymenoptera and the abundance of Diptera pollinator groups. The negative impact of urbanisation on some pollinator groups was reduced in enhanced sites compared with control sites. Planting both pollinator-friendly ornamental plants and wildflower meadows significantly increased the visits from Diptera and the diversity in the plant–pollinator community compared with wildflower plantings alone.
Our results suggest that enhancing public spaces for pollinators has positive effects on key groups and can help mitigate the impacts of urbanisation. Non-native ornamental plants can also play a role in enhancing green spaces for pollinators while maintaining their recreational functions. This supports a mixed-planting approach for improving public green spaces in urban areas for both people and nature.","10.1111/icad.12779","Poole, O.",2024,"Insect Conservation and Diversity","Pollinators respond positively to urban green space enhancements using wild and ornamental flowers Pollinator diversity and abundance are under direct threat from human activities. Despite societal dependence on pollinators for crop production, humankind continues to drive pollinator declines through agricultural intensification and urbanisation.
Urban environments can provide refuge to some pollinators. There is a need, however, to understand how pollinator communities can be supported in these areas while also considering human needs. Public green spaces provide a promising avenue to target plant–pollinator conservation measures in an urban setting due to their large area, high abundance and low plant–pollinator biodiversity.
We used a paired design to compare the plant community, pollinator community and plant–pollinator interactions of (i) public urban green spaces enhanced with wildflower meadows and pollinator-friendly ornamental plantings to (ii) control unenhanced urban green spaces. The planting types within enhanced sites were also separately compared.
Our results show that not only was the diversity of the overall pollinator community higher in enhanced than control sites, but also the complexity of some wild Hymenoptera and the abundance of Diptera pollinator groups. The negative impact of urbanisation on some pollinator groups was reduced in enhanced sites compared with control sites. Planting both pollinator-friendly ornamental plants and wildflower meadows significantly increased the visits from Diptera and the diversity in the plant–pollinator community compared with wildflower plantings alone.
Our results suggest that enhancing public spaces for pollinators has positive effects on key groups and can help mitigate the impacts of urbanisation. Non-native ornamental plants can also play a role in enhancing green spaces for pollinators while maintaining their recreational functions. This supports a mixed-planting approach for improving public green spaces in urban areas for both people and nature.",TRUE,TRUE,TRUE
2619,"Modification of a community garden to attract native bee pollinators in urban san luis obispo","Gardens have become increasingly important places for growing nutritional food, for conserving biodiversity, for biological and ecological research and education, and for community gathering. Gardens can also be designed with the goal of attracting aesthetically pleasing wildlife and pollinators, like birds and butterflies, but other important garden visitors, like bees, can also be drawn to specially planned and modified gardens. A community garden in San Luis Obispo, California provided the setting for modification with the goal of attracting native bee pollinators by planting known bee-attractive plants. The local gardeners participated in a survey questionnaire and focused interviews to provide their input and interest in such a project. Presentations on our work with native bees in urban environments and gardening to attract bees were also given to interested gardeners. Work of this type also benefited from a lead gardener who managed donated bee plants and kept up momentum of the project. Modification of the garden and monitoring of native bees started in 2007 and continued through the growing season of 2009. Diversity of collected and observed native bees has increased each year since 2007. To date, 40 species in 17 genera of mostly native bees have been recorded from the garden, and this number is expected to increase through time.",NA,"Pawelek, J.",2009,"Cities and the Environment","Modification of a community garden to attract native bee pollinators in urban san luis obispo Gardens have become increasingly important places for growing nutritional food, for conserving biodiversity, for biological and ecological research and education, and for community gathering. Gardens can also be designed with the goal of attracting aesthetically pleasing wildlife and pollinators, like birds and butterflies, but other important garden visitors, like bees, can also be drawn to specially planned and modified gardens. A community garden in San Luis Obispo, California provided the setting for modification with the goal of attracting native bee pollinators by planting known bee-attractive plants. The local gardeners participated in a survey questionnaire and focused interviews to provide their input and interest in such a project. Presentations on our work with native bees in urban environments and gardening to attract bees were also given to interested gardeners. Work of this type also benefited from a lead gardener who managed donated bee plants and kept up momentum of the project. Modification of the garden and monitoring of native bees started in 2007 and continued through the growing season of 2009. Diversity of collected and observed native bees has increased each year since 2007. To date, 40 species in 17 genera of mostly native bees have been recorded from the garden, and this number is expected to increase through time.",TRUE,TRUE,TRUE
2627,"Evaluating the effectiveness of wildflower seed mixes for boosting floral diversity and bumblebee and hoverfly abundance in urban areas","1. There is growing interest in improving the biodiversity of urban and suburban areas. Here we report on the effectiveness of a very simple intervention that may be used to boost flower and pollinator abundance; the sowing of plots of wildflowers in amenity grasslands. The abundance of flowers, bumblebees (*Bombus* spp.), and hoverflies (Syrphidae) was surveyed in 30 such plots, either 1 or 2 years after they had been sown.2. Overall, sown plots had 25 times more flowers, 50 times more bumblebees, and 13 times more hoverflies compared to paired control plots. Floral abundance and bee abundance increased from year 1 to year 2, but hoverflies were more abundant in plots in their first year, reflecting their preference for shallow annual flowers.3. Our data demonstrate that flower-poor amenity grasslands can be readily converted to flower-rich areas that are highly attractive to pollinators, providing a simple tool for pollinator conservation in urban areas.","10.1111/icad.12071","Blackmore, L.M.",2014,"Insect Conserv Diver","Evaluating the effectiveness of wildflower seed mixes for boosting floral diversity and bumblebee and hoverfly abundance in urban areas 1. There is growing interest in improving the biodiversity of urban and suburban areas. Here we report on the effectiveness of a very simple intervention that may be used to boost flower and pollinator abundance; the sowing of plots of wildflowers in amenity grasslands. The abundance of flowers, bumblebees (*Bombus* spp.), and hoverflies (Syrphidae) was surveyed in 30 such plots, either 1 or 2 years after they had been sown.2. Overall, sown plots had 25 times more flowers, 50 times more bumblebees, and 13 times more hoverflies compared to paired control plots. Floral abundance and bee abundance increased from year 1 to year 2, but hoverflies were more abundant in plots in their first year, reflecting their preference for shallow annual flowers.3. Our data demonstrate that flower-poor amenity grasslands can be readily converted to flower-rich areas that are highly attractive to pollinators, providing a simple tool for pollinator conservation in urban areas.",TRUE,TRUE,TRUE
