study_ID,author,year,title,doi,abstract,author_keywords,index_keywords,journal,volume,issue,start_page,end_page,document_type,publication_type,proceedings_title,platform,database,access,lit_type,art_type,gold_standard,asreview_prior,exported_notes_1,included,asreview_ranking,urban_study,retrieved?,extractor_1_name,extractor_1_complete,extractor_2_name,extractor_2_complete,exclusion_reason,other_exclusion_reason,Projects this is relevant to....
588,"Boetzl, FA and Krimmer, E and Holzschuh, A and Krauss, J and Steffan-Dewenter, I",2022,Arthropod overwintering in agri-environmental scheme flowering fields differs among pollinators and natural enemies,10.1016/j.agee.2022.107890,"Arthropod diversity in agricultural landscapes is important to maintain numerous ecosystem services. Most arthropods, however, need shelter habitats for overwintering embedded in agricultural landscapes. Habitats created by perennial agri-environmental schemes (AES) such as flowering fields can provide such overwintering places in addition to nesting sites and food resources. However, it is unclear, to which extent arthropods use such flowering fields for overwintering. We assessed the emergence of six functionally relevant arthropod groups (wild bees, hoverflies, wasps, carabid beetles, staphylinid beetles and spiders) with emergence cages on wheat fields and on four types of flowering fields differing in temporal continuity (age and time since last soil disturbance). Wild bee richness and abundance was highest in flowering fields that had undergone soil disturbance in the previous year while recent soil disturbance was clearly detrimental. Natural enemies were mostly unaffected by temporal continuity and hoverflies emerged most abundantly from wheat fields. Carabid beetle richness and densities of carabid and staphylinid beetles were positively affected by recent soil disturbance while hoverfly densities were negatively affected. Further assemblage composition of emerging wild bees and carabid beetles differed between habitat types. Our results indicate that most natural enemies overwinter even in flowering fields with low temporal continuity and recent soil disturbance while wild bees need habitats of higher temporal continuity for overwintering. We thus propose a mix of flowering habitats with different degrees of temporal continuity embedded in the agricultural landscape to make AES more effective towards the provisioning of overwintering sites for ecosystem service providers. We conclude that a better understanding of the overwintering ecology of different arthropod groups is required to counteract current biodiversity decline in agricultural landscapes.",Ecological intensification; Flower strips; Set aside fields; Insect and emergence traps; Pest control; Pollination,SOWN WILDFLOWER STRIPS; SEMINATURAL HABITATS; ECOSYSTEM SERVICES; BEE and COMMUNITIES; ARABLE FIELDS; NESTING BEES; BIODIVERSITY; EMERGENCE; and CONSERVATION; BEETLES,AGRICULTURE ECOSYSTEMS & ENVIRONMENT,330,NA,NA,NA,Article,J,University of Wurzburg,WoS,CC,UoR,peerreviewed,primary,FALSE,0,NA,1,8,TRUE,NA,AV,NA,NA,NA,NA,NA,NA
963,"Plath, Eva and Rischen, Tamara and Mohr, Tobias and Fischer, Klaus (klausfischer@uni-koblenz.de)",2021,Biodiversity in agricultural landscapes: grassy field margins and semi-natural fragments both foster spider diversity and body size,10.1016/j.agee.2021.107457,"Agricultural intensification is one of the most important drivers of biodiversity loss. To preserve taxonomic diversity in agricultural landscapes, there is an increasing need for refuge areas within agroecosystems, but best practices for providing such sites are debated. Here, we compared the taxonomic diversity and trait composition of spiders, being important terrestrial predators, among cereal fields, grassy field margins, set aside fields sown with wildflowers, and semi-natural sites within an agricultural landscape in western Germany. Spider taxonomic diversity was similarly high in all non-crop habitats, indicating a surprisingly high value of field margins and setaside fields. Cereal fields, in contrast, were dominated by a few, mainly euryecious species. Moreover, community mean body size was smallest on cereal fields but highest on semi-natural sites, suggesting that spider body size may serve as a valuable indicator of the level of anthropogenic disturbance. Spider communities differed partly among non-crop habitats, stressing the need for combining different conservation measures to maximize taxonomic biodiversity and trait composition. These should also include remnants of natural vegetation, which were especially important for large and red list species and therefore for reaching the aims of nature conservation.",Araneae [Farming and agriculture / Agricultural intensification / ] and [Size / Body size / ] [Community structure /  / ] [Cultivated land and habitat / Habitat types / ] [Germany / Eifel mountain range / ].,CONSERVATION BIOLOGICAL-CONTROL; FUNCTIONAL DIVERSITY; CEREAL FIELDS; and ARTHROPOD DIVERSITY; AERIAL DISPERSAL; GROUND BEETLES; WINTER-WHEAT; and HABITAT; LAND; MANAGEMENT,AGRICULTURE ECOSYSTEMS & ENVIRONMENT,316,NA,NA,NA,Article,J,University of Koblenz & Landau,WoS,CC,UoR,peerreviewed,primary,FALSE,0,NA,1,21,TRUE,NA,ADP,NA,NA,NA,NA,NA,NA
1828,Guo Bing-ru and Fu Dao-meng and Qi Shao-fan and Yu Zhen-rong (1476419771@qq.com) and Nie Zi-jin and Zhu Li,2020,Effects of wildflower strips on ground-dwelling spider diversity in beijing suburban cropland,NA,"Spider is an important natural enemy group in croplands, whose biodiversity is affected by diverse factors at field scale. The wildflower strips in field margin could improve rural aesthetics, but their effectiveness in maintaining spider diversity remains poorly understood in China. In this study, eight pairs of focal fields with similar agricultural management and landscape composition were selected. In each pair, one field was selected next to a wildflower strip previously established as part of the focal field, and the other field next to habitats without flower resource was selected. We captured spiders in the fields to figure out factors that influence spider diversity. Wildflower strips increased cropland spider diversity, especially within the fields. The distribution of dominant spider species was not correlated with wildflower strip shapes, but positively correlated with species richness and width of wildflower strips. Our results indicated that the construction of field margin wildflower strips can increase spider diversity, and thus contribute to the biological control of insect pests.",Araneae [Biological control /  / ] [Species diversity /  / ] [Cultivated and land habitat / Suburban cropland habitat / ] [Urban habitat /  / ] and [Beijing /  / ].,NA,SHENGTAIXUE ZAZHI,39,8,NA,NA,Article,J,NA,WoS,ZR,UoR,peerreviewed,primary,FALSE,0,NA,1,25,TRUE,NA,AV,NA,NA,NA,NA,NA,NA
1396,"Judt, C and Kor﹟～nyi, D and Zaller, JG and Bat﹟～ry, P",2023,Floral resources and ground covers promote natural enemies but not pest insects in apple orchards: a global meta-analysis,10.1016/j.scitotenv.2023.166139,"In recent decades, agricultural intensification has led to a loss of biodiversity and associated ecosystem services such as natural pest control. Conservation biological control addresses this problem by generally extensifying farming and/or providing alternative habitats and food sources for natural enemies of pest species. However, farmers implement conservation biological control sparingly, in part because of the confusing variety of measures with inconsistent effects. To shed some light on the effectiveness of conservation biological control measures in apple production, we conducted four meta-analyses to identify patterns of local measures on (i) insect pest abundance, (ii) natural enemy abundance, (iii) biological control, and (iv) fruit quality. Across the 54 studies, we found an overall significant, positive effect of local interventions on natural enemy abundance. Among our established intervention categories (flowers, ground cover, extensification), ground covers promoted natural enemies the most and tended to reduce pest insects. Likewise, providing flowers promoted natural enemies without affecting fruit quality. In contrast, extensification of orchard management alone, such as reducing agrochemical use and/or less disturbance, had no significant effect on the abundance of natural enemies, but showed a tendency to increase populations of pest insects and reduce fruit quality. Our results demonstrate that more floral resources and ground covers in apple orchards can reduce pesticide use while maintaining fruit quality.",Abundance; Arthropods; Biodiversity; Conservation biological control; and Ecosystem services; Fruit quality,HEMIPTERA APHIDIDAE; HABITAT MANAGEMENT; ECOSYSTEM SERVICES; and BIODIVERSITY; PREDATORS; DIVERSITY; HERBIVORE; POPULATIONS; ARTHROPODS; and RESPONSES,SCIENCE OF THE TOTAL ENVIRONMENT,903,NA,NA,NA,Article,J,BOKU University; Hungarian Academy of Sciences; Hungarian Research and Network; HUN-REN Centre for Ecological Research,WoS,CC,UoR,peerreviewed,primary,FALSE,0,NA,1,57,TRUE,NA,ADP,NA,NA,NA,NA,NA,NA
596,"McKerchar, M. and Potts, S.G. and Fountain, M.T. and Garratt, M.P.D. and Westbury, D.B. (d.westbury@worc.ac.uk)",2020,The potential for wildflower interventions to enhance natural enemies and pollinators in commercial apple orchards is limited by other management practices,10.1016/j.agee.2020.107034,"Modern fruit production has successfully increased yields and fruit quality to meet market demands mainly through intensification and the use of Plant Protection Products (PPPs). Due to the associated environmental impacts and consumers increasingly demanding food produced more sustainably, the tree fruit sector is seeking to reduce its reliance on PPPs. Despite intensification, apple production is still highly dependent on ecosystem services, including pest regulation and pollination. The aim of this study was to investigate the response of natural enemies and pollinators in commercial apple orchards to the provision of a wildflower habitat. It was hypothesised that the abundance and diversity of beneficial invertebrate species would be enhanced leading to an increased control of apple pests and enhanced pollination of apple blossom. We also investigated the effect of orchard pesticide toxicity on natural enemies and pest regulation services and how responses varied between apple cultivars (Jazz and Braeburn). The study was carried out in five orchards of each apple variety across Kent (UK), using a split-plot experimental design. At each site, a one-hectare orchard plot was established with wildflower strips in alleyways between rows of trees and compared with a one-hectare control plot where alleyways were managed conventionally with regular cuffing. Responses of natural enemies and pollinators were recorded over a period of three and four years, respectively. The presence of wildflower strips did not contribute significantly towards the delivery of natural pest regulation or pollination services. However, hoverfly diversity and species richness were greater in orchards with wildflower strips, and whilst this was not associated with increased rates of pest regulation, such a response could potentially provide more resilient pest regulation and pollination services. Braeburn orchards had higher bee abundance, and pest predation rates, which were associated with a greater abundance of earwigs, compared to Jazz orchards. Of key significance for growers is that high values of cumulative pesticide toxicity negatively affected natural enemy populations, especially earwigs. If growers want to support natural enemies and wild pollinators in modern apple orchards following the principles of ecological intensification, they need to consider both the types and frequency of pesticide sprays used, in conjunction with interventions aimed at promoting beneficial invertebrates.",Anthocoridae; Araneae; Coccinellidae; Dermaptera; Miridae; Neuroptera; and Syrphidae [Biological control /  / wildflower interventions] [Insect and prey / Aphidoidea (Hemiptera) / ] [Species diversity / Species richness and / ] [Cultivated land habitat / Apple orchards / ]. and Aphidoidea [Biological control /  / plant host; wildflower and interventions] [Plant hosts /  / Insect & arachnid predators] and [Population dynamics / Abundance / ] [Arachnid predators / Araneae / ] and [Insect predators / Anthocoridae (Hemiptera) / ] [ / Coccinellidae and (Coleoptera) / ] [ / Dermaptera (Dermaptera) / ] [ / Miridae (Hemiptera) and / ] [ / Neuroptera (Neuroptera) / ] [ / Syrphidae (Diptera) / ] and [Cultivated land habitat / Apple orchards / ]. and Arthropoda [Pollination /  / Pollination services; wildflower and interventions] [Species diversity / Species richness / ] [Population and dynamics / Anundance / ] [Cultivated land habitat / Apple orchards / ].,DYSAPHIS-PLANTAGINEA HEMIPTERA; SOWN FLOWER STRIPS; ECOSYSTEM SERVICES; and ARTHROPOD PESTS; BEE ABUNDANCE; DIVERSITY; CROPS; INSECTICIDES; and DECLINES; PREDATORS,AGRICULTURE ECOSYSTEMS & ENVIRONMENT,301,NA,NA,NA,Article,J,University of Worcester; University of Reading,WoS,CC,UoR,peerreviewed,primary,FALSE,0,NA,1,59,TRUE,NA,AV,NA,NA,NA,NA,NA,NA
1779,"Hutchinson, Louise and Norrey, John and Lockton, Alex and Coulthard, Emma (e.coulthard@mmu.ac.uk)",2020,Small areas of wildflower grassland in urban areas support significant species richness and abundance of pollinating insects,10.31184/G00138894.712.1724,"1. Diversity of invertebrate pollinators is essential in supporting flowering plant species richness, including agricultural crops. In the UK, losses are reported for bees, hoverflies, butterflies and moths. Urban green spaces are essential retugia for these groups, and restoration of these areas can improve pollinator diversity through improved floral resources. 2. Our research aimed to compare two differently managed areas of urban amenity grassland for their insect pollinators, with transect surveys of butterflies, bumblebees, solitary bees and hoverflies. 3. Our results revealed that even in an urban matrix, a small area of wildflower meadow had significantly higher insect abundance and species richness than a comparable amenity grassland. Both abundance and species richness of pollinating insects was positively related to floral species richness. 4. The wildflower grassland supported a number of notable solitary bee species and numerous hoverflies, although visitation by solitary bees was confined to only a small number of flowering plants, exhibiting visitation specialisation; however many of these plant species were not visited by other taxa.","Apoidea; Bombini; Papilionoidea; Syrphidae [Food plants /  / Floral and species richness] [Pollination /  / ] [Species diversity /  / ] and [Population size / Abundance / ] [Grassland / Urban amenity grassland / and ] [Urban habitat /  / ] [England / Merseyside, Liverpool, Knowsley and borough / ].",NA,ENTOMOLOGIST'S GAZETTE,71,2,NA,NA,Article,J,NA,WoS,ZR,UoR,peerreviewed,primary,FALSE,0,NA,1,93,TRUE,NA,ADP,NA,NA,NA,NA,NA,NA
9,"Sheridan, H. (helen.sheridan@ucd.ie) and Finn, J.A. and Culleton, N. and O'Donovan, G.",2008,Plant and invertebrate diversity in grassland field margins,10.1016/j.agee.2007.07.001,"This study investigates three treatment methods to establish field margins of high botanical and invertebrate diversity within an intensively managed grassland system. Field margin treatments were: fenced only, rotavated and allowed to regenerate naturally, reseeded with a grass and wildflower seed mixture. Control plots were unfenced and grazed. Field margin widths were established at 1.5, 2.5 and 3.5 m. The botanical composition of the plots was examined on four occasions between 2002 and 2004 using permanent nested quadrats. Emergence traps were installed in each of the treatments to investigate invertebrate abundance response to treatment. Results showed that (1) reseeding had a positive effect on resultant botanical diversity when compared with other establishment treatments investigated, (2) natural regeneration after rotavation could not be recommended as an effective means of restoring diversity under these environmental conditions, due to the abundance of undesirable weed species, (3) exclusion of fertiliser inputs alone resulted in a very slow change in the botanical composition, (4) width of plot did not have a significant influence on plant species richness and (5) treatment and time of sampling had highly significant impacts on overall invertebrate abundance.","Invertebrata [Farming and agriculture / Grassland field margin and management / Effect on abundance] [Habitat management /  / ] [Relative and abundance /  / Grassland field margin management effects] [Cultivated and land habitat / Grassland field margins / Management effects on and abundance] [Republic of Ireland / Wexford, Johnstown Castle / Grassland and field margin management effect on abundance].",Invertebrata; abundance; biodiversity; environmental conditions; field margin; flower; grass; grassland; invertebrate; regeneration; restoration ecology; species richness; weed; wild population,"AGRICULTURE, ECOSYSTEMS AND ENVIRONMENT",123,2025/3/1,225,232,Article,J,University College Dublin; Teagasc,Scopus,CC,UoR,peerreviewed,primary,TRUE,0,NA,1,101,TRUE,Y,AV,NA,NA,NA,NA,NA,NA
1516,"Alcala Herrera, Rafael (rafa.alcala@eez.csic.es) and Cotes, Belen and Agusti, Nuria and Tasin, Marco and Porcel, Mario",2022,Using flower strips to promote green lacewings to control cabbage insect pests,10.1007/s10340-021-01419-7,"Habitat management improves biological control by increasing the abundance and fitness of natural enemies through the provision of floral resources along field edges or between crops. Among the natural enemies reliant on flower resources, green lacewings often stand out due to their abundance, predation capacity and polyphagy. We evaluated the impact of tailored flower strips on the enhancement of natural enemies, especially green lacewings, in three organic cabbage (Brassica oleracea) farms in Southern Sweden. Insects were sampled from the flower strips, and cabbage pests and predators were visually recorded in the crop. In a laboratory assay, the pollen feeding preferences of Chrysoperla carnea (Stephens, 1836) were evaluated in a dual-choice test. The pollen consumed by the Chrysopidae was extracted from laboratory and field specimens, then quantified and identified. Flower strips were found to attract predators and parasitoids, whose abundance increased as flowers bloomed. Cabbage plants next to the flower strips showed lower pest infestation as compared to cabbage plant control, although no significant differences were observed in the number of predators. Chrysopidae used flower strips as feeding, reproduction and shelter sites and mainly consumed pollen from Phacelia tanacetifolia Benth. Under laboratory conditions, C. carnea showed a preference for P. tanacetifolia and Coriandrum sativum L. pollen over Borago officinalis L. and Fagopyrum esculentum Moench. We show that tailored flower strips could be an efficient tool for enhancing beneficial arthropods and should be considered in integrated pest management for cabbage crops. ?? 2021, The Author(s).",Anthocoridae; Cantharidae; Chrysopidae; Coccinellidae; Deraeocoris; and Nabidae [Biological control /  / ] [Insect prey / Brevicoryne brassicae and (Hemiptera) / ] [ / Mamestra brassicae (Lepidoptera) / ] [ / Pieris and brassicae (Lepidoptera) / ] [ / Pieris rapae (Lepidoptera) / ] [ / and Pieris xylostella (Lepidoptera) / ]. and Brevicoryne brassicae; Mamestra brassicae; Pieris brassicae; Pieris and rapae; Pieris xylostella [Biological control /  / ] [ /  / ] and [Hymenopteran parasites /  / ] [Insect predators / Deraeocoris and (Hemiptera) / ] [ / Anthocoridae (Hemiptera) / ] [ / Cantharidae and (Coleoptera) / ] [ / Chrysopidae (Neuroptera) / ] [ / Coccinellidae and (Coleoptera) / ] [ / Nabidae (Hemiptera) / ]. and Chrysoperla carnea [Food plants / Borago officinalis / ] [ / Coriandrum and sativum / ] [ / Fagopyrum esculentum / ] [ / Phacelia tanacetifolia / ] and [Food preferences / Pollen feeding preferences / ] [Sweden / Scania / ]. and Hymenoptera [Biological control /  / ] [Hemipteran hosts / Brevicoryne and brassicae / ] [Lepidopteran hosts / Mamestra brassicae / ] [ / Pieris and brassicae / ] [ / Pieris rapae / ] [ / Pieris xylostella / ].,CHRYSOPERLA-CARNEA; NATURAL ENEMIES; NEUROPTERA CHRYSOPIDAE; and BIOLOGICAL-CONTROL; BENEFICIAL ARTHROPODS; HABITAT MANAGEMENT; CROP and ENVIRONMENT; COMPANION PLANTS; APPLE ORCHARDS; POLLEN GRAIN,JOURNAL OF PEST SCIENCE,95,2,669,683,Article,J,"Consejo Superior de Investigaciones Cientificas (CSIC); CSIC - Estacion and Experimental del Zaidin (EEZ); Swedish University of Agricultural and Sciences; IRTA; Corporacion Colombiana de Investigacion Agropecuaria, and AGROSAVIA; University of Padua",Scopus,CC,UoR,peerreviewed,primary,FALSE,0,NA,1,107,TRUE,NA,ADP,NA,NA,NA,NA,NA,NA
51,"Kati, V and Karamaouna, F and Economou, L and Mylona, P and Samara, M and Mitroiu, MD and Barda, M and Edwards, M and Liberopoulou, S",2021,Sown wildflowers enhance habitats of pollinators and beneficial arthropods in a tomato field margin,10.3390/plants10051003,"We evaluated the capacity of selected plants, sown along a processing tomato field margin in central Greece and natural vegetation, to attract beneficial and Hymenoptera pollinating insects and questioned whether they can distract pollinators from crop flowers. Measurements of flower cover and attracted pollinators and beneficial arthropods were recorded from early-May to mid-July, during the cultivation period of the crop. Flower cover was higher in the sown mixtures compared to natural vegetation and was positively correlated with the number of attracted pollinators. The sown Glebionis coronaria, Coriandrum sativum, Anethum graveolens, and Fagopyrum esculentum attracted mainly wild bees, which were the most abundant pollinating insects. In the natural vegetation, Rapistrum rugosum attracted mainly honeybees, while Asteraceae, Convolvulaceae, and Apiaceae species attracted wild bees. Beneficial arthropod abundance and diversity were higher in the sown mixture. Tomato flowers were visited by a small number of wild bees. Their number was not affected by the distance from the field margin, indicating no distraction effect from the sown or natural vegetation flowering plants. Our results suggest that selected flowering plants can improve the field margin habitats for pollinating insects and beneficial arthropods, but more work is needed to elucidate the effect on crop pollination.",field margin; flowering plants; Hymenoptera pollinators; beneficial and arthropods; crop pollination; processing tomato,BIOLOGICAL-CONTROL; NATURAL ENEMIES; ECOSYSTEM SERVICES; INSECT and POLLINATORS; FLORAL DIVERSITY; PLANT; CONSERVATION; BIODIVERSITY; and HYMENOPTERA; STRIPS,PLANTS-BASEL,10,5,NA,NA,Article,J,Alexandru Ioan Cuza University,WoS,CC,UoR,peerreviewed,primary,FALSE,0,NA,1,121,TRUE,NA,AV,NA,NA,NA,NA,NA,NA
686,"Zhang, Xuzhu and Axmacher, Jan C. and Wu, Panlong and Zhang, Xin and Liu, Yunhui (liuyh@cau.edu.cn)",2019,Productive oilseed rape strips supplement seminatural field-margins in promoting ground-dwelling predatory invertebrates in agricultural landscapes,10.1093/jisesa/iez055,"Intensively managed flowering crops like canola (Brassicales: Brassicaceae) (oilseed rape, OSR) provide significant short-term nectar resources for pollen consumers. They may also play important roles as annual ""service strips"" in temporarily promoting predatory invertebrates. We set out to test this assumption by comparing overall and functional group-specific species richness, activity density, and assemblage composition of carabids (Coleoptera: Carabidae) and spiders (Araneae), in three types of service strips-OSR, woody, and grassy strips established in direct vicinity to cropland. OSR strips were found to harbor the highest carabid species richness and activity density of small carabids. The activity density of carabids overall and of omnivorous species, the species richness and activity density of spiders across size classes and feeding strategies were all significantly reduced in woody strips. The percentage of seminatural habitat in the wider landscape was positively linked to the activity density of spiders overall, ground hunting and large spiders, whereas in carabids, positive effects were limited to large species occurring in grassy strips. Habitat type was the main predictor of both carabid and spider assemblage composition. Our results indicate that carabid and spider activity density across functional groups responded more strongly to changes in the landscape composition than the diversity of individual taxonomic groups. For agricultural landscape management, the establishment of habitat mosaics that include regular OSR could promote abundant, species-rich predatory invertebrates particularly in early spring. In contrast, structurally homogenous woody strips represent limited value in promoting the investigated biological pest control agents.","Araneae; Carabidae [Conservation measures /  / productive oilseed rape and strips supplement] [Species diversity / Species richness / ] [Population and density / Activity density / ] [Age class distribution / Size class and distribution / ] [Vertical distribution /  / ] [Cultivated land habitat and / Agricultural landscape / ] [Henan / Anyang city, northwest / ].",CONSERVATION BIOLOGICAL-CONTROL; FUNCTIONAL DIVERSITY; and SPATIAL-DISTRIBUTION; CARABID BEETLES; ENEMY DIVERSITY; PEST-CONTROL; and HABITATS; MANAGEMENT; CONTEXT; SPIDERS,JOURNAL OF INSECT SCIENCE (TUCSON),19,3,NA,NA,Article,J,China Agricultural University; University of London; University College and London,WoS,CC,UoR,peerreviewed,primary,FALSE,0,NA,1,122,TRUE,NA,ADP,NA,NA,NA,NA,NA,NA
