study_ID,latitude,longitude,trt,land_use_context_ur,tif
2613,50.4104639,-4.21778,2613,urban,N48W006
2613,50.3473449,-4.7553792,2613,urban,N48W006
2613,50.63353833,-4.358153333,2613,urban,N48W006
2613,50.64446,-4.3577,2613,urban,N48W006
2613,50.245399,-5.2079899,2613,urban,N48W006
2613,50.2432999,-5.2184978,2613,urban,N48W006
2613,50.229635,-5.220293333,2613,urban,N48W006
2613,50.24972833,-5.23421,2613,urban,N48W006
2613,50.23182,-5.26084,2613,urban,N48W006
2613,50.2289575,-5.265404167,2613,urban,N48W006
2613,50.4095092,-4.2228162,2613,urban,N48W006
2613,50.22506333,-5.28417,2613,urban,N48W006
2613,50.2245975,-5.289705834,2613,urban,N48W006
2613,50.20909,-5.284193,2613,urban,N48W006
2613,50.83004417,-4.5266975,2613,urban,N48W006
2613,50.82232334,-4.532684167,2613,urban,N48W006
2613,50.82321833,-4.534575,2613,urban,N48W006
2613,50.4700728,-4.7211033,2613,urban,N48W006
2613,50.1722594,-5.1094409,2613,urban,N48W006
2613,50.47451,-4.7356075,2613,urban,N48W006
2613,50.16639,-5.101895,2613,urban,N48W006
2613,50.16026,-5.091497,2613,urban,N48W006
2613,50.1486943,-5.08525255,2613,urban,N48W006
2613,50.1351064,-5.0986037,2613,urban,N48W006
2613,50.1581099,-5.076904,2613,urban,N48W006
2627,56.150439,-3.9432127,2627.2,urban,N54W006
2627,56.096775,-3.9211512,2627.2,urban,N54W006
2627,56.107778,-3.9422196,2627.2,urban,N54W006
2627,56.105284,-3.9287631,2627.1,urban,N54W006
2627,56.144979,-4.0845951,2627.2,urban,N54W006
2627,56.107731,-3.9320054,2627.2,urban,N54W006
2627,56.107579,-3.9319978,2627.2,urban,N54W006
2627,56.108387,-3.9661803,2627.1,urban,N54W006
2627,56.107913,-3.9705626,2627.2,urban,N54W006
2627,56.133302,-3.9408996,2627.2,urban,N54W006
2627,56.133887,-3.9425545,2627.2,urban,N54W006
2627,56.134471,-3.9431633,2627.2,urban,N54W006
2627,56.182275,-3.9655107,2627.1,urban,N54W006
2627,56.110066,-3.9549598,2627.1,urban,N54W006
2627,56.108093,-3.9648948,2627.1,urban,N54W006
2627,56.111766,-3.9491917,2627.2,urban,N54W006
2627,56.114748,-3.9246044,2627.2,urban,N54W006
2627,56.128017,-3.9625803,2627.2,urban,N54W006
2627,56.125678,-3.9587446,2627.2,urban,N54W006
2627,56.126519,-3.9601549,2627.2,urban,N54W006
2627,56.190469,-3.950877,2627.2,urban,N54W006
2627,56.128335,-3.9350338,2627.2,urban,N54W006
2627,56.127927,-3.9323424,2627.1,urban,N54W006
2627,56.130136,-3.9479328,2627.2,urban,N54W006
2627,56.129926,-3.9475682,2627.2,urban,N54W006
2627,56.188298,-3.9597592,2627.1,urban,N54W006
2627,56.119471,-3.9057456,2627.2,urban,N54W006
2627,56.104311,-3.9437977,2627.1,urban,N54W006
2627,56.104166,-3.9438547,2627.1,urban,N54W006
2627,56.103959,-3.9439086,2627.1,urban,N54W006
654,29.648116,-82.368279,654,urban,N27W084
654,29.264462,-82.146449,654,urban,N27W084
654,29.105264,-82.261248,654,urban,N27W084
1153,42.24544126,-83.73187618,1153.1,urban,N42W084
1153,42.27113898,-83.74462477,1153.1,urban,N42W084
1153,42.29860953,-83.70848599,1153.1,urban,N42W084
1153,42.24868936,-83.74004108,1153.1,urban,N42W084
1153,42.26651371,-83.74583719,1153.2,urban,N42W084
1153,42.28867223,-83.73885612,1153.2,urban,N42W084
1153,42.30111588,-83.70133803,1153.2,urban,N42W084
1153,42.2354232,-83.72801208,1153.2,urban,N42W084
1153,42.28866247,-83.71665934,1153.3,urban,N42W084
1153,42.24338118,-83.74319834,1153.3,urban,N42W084
1153,42.24281686,-83.75122275,1153.3,urban,N42W084
1153,42.26902286,-83.7444458,1153.3,urban,N42W084
