Date,Year,Session,Site,Trt,FlwSwtAlysm,BeeAbun,BeeSpDensity,BeeAbun.F,BeeAbun.M,BeeAbun.ephialtum.F,BeeAbun.ephialtum.M,BeeAbun.ephialtum,FlwAbun.TotArea,FlwAbun.TotArea.SMALL,FlwRich.Avg,FlwRich.SD,StartTime,StopTime,Nest.BareSoil,Nest.DeadWood,Nest.Aspect,Nest.MulchRock,Nest.Herbacious,Nest.BeeTotal
6/9/15,2015,S1,AA,10,10523.33,0,0,0,0,0,0,0,NA,NA,NA,NA,11:04,11:19,31,4.2,0,12,245,292.2
6/9/15,2015,S1,ARB,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,14:41,14:56,141.1,0,156.8,16,12,325.9
6/9/15,2015,S1,BB,10,10718.33,0,0,0,0,0,0,0,NA,NA,NA,NA,12:34,12:49,102,5.4,60,44,43,254.4
6/9/15,2015,S1,EBC,3,3766.5,0,0,0,0,0,0,0,NA,NA,NA,NA,10:50,11:05,108,0.85,36,63,84,291.85
6/9/15,2015,S1,EF,3,1386,0,0,0,0,0,0,0,NA,NA,NA,NA,15:45,16:00,42,2,2,14,3,63
6/9/15,2015,S1,EH,6,4067,0,0,0,0,0,0,0,NA,NA,NA,NA,14:07,14:22,32,0,0,8,3,43
6/9/15,2015,S1,FH,10,3575,0,0,0,0,0,0,0,NA,NA,NA,NA,13:27,13:42,59,2.55,5,8,63,137.55
6/9/15,2015,S1,KEC,6,3150,0,0,0,0,0,0,0,NA,NA,NA,NA,10:07,10:23,82,3.35,24,22,7,138.35
6/9/15,2015,S1,NC53,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,12:22,12:37,91,21.65,18,14,73,217.65
6/9/15,2015,S1,NCRC-E,3,2300,8,1,4,4,4,4,8,NA,NA,NA,NA,12:54,13:09,56,0,10,32,19,117
6/9/15,2015,S1,NCRC-W,6,3445,1,1,1,1,1,0,1,NA,NA,NA,NA,16:26,16:41,26,0,5,16,267,314
6/9/15,2015,S1,OSEH,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,13:48,14:03,24,0,6,43,10,83
6/9/15,2015,S1,RH,10,5880,3,1,1,1,1,2,3,NA,NA,NA,NA,15:01,15:16,13,0,19,83,38,153
6/9/15,2015,S1,SS,3,351,0,0,0,0,0,0,0,NA,NA,NA,NA,11:42,12:01,81,5,8,0,63,157
6/9/15,2015,S1,VD,6,2601,0,0,0,0,0,0,0,NA,NA,NA,NA,10:08,10:26,62,2.25,2,0,14,80.25
6/9/15,2015,S1,WT,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,11:16,11:31,140,6,40,1,33,220
7/2/15,2015,S3,AA,10,95880,6,1,2,4,2,0,2,1130.94,1130.94,4.14,4.98,16:50,17:05,31,4.2,0,12,245,292.2
7/2/15,2015,S3,ARB,0,0,0,0,0,0,0,0,0,628.3,439.81,2.43,3.05,17:44,17:59,141.1,0,156.8,16,12,325.9
7/2/15,2015,S3,BB,10,34510,7,1,7,0,7,0,7,502.64,376.98,2.71,2.56,13:05,13:20,102,5.4,60,44,43,254.4
7/2/15,2015,S3,EBC,3,17110,3,1,3,0,3,0,3,879.62,816.79,2.29,2.06,11:33,11:48,108,0.85,36,63,84,291.85
7/2/15,2015,S3,EF,3,13516,9,2,9,0,8,0,8,1005.28,879.62,6,4,10:02,10:17,42,2,2,14,3,63
7/2/15,2015,S3,EH,6,44200,9,1,9,0,9,0,9,314.15,314.15,1.57,1.9,10:47,11:02,32,0,0,8,3,43
7/2/15,2015,S3,FH,10,51306.67,10,3,6,4,5,1,6,691.13,628.3,4.43,2.76,12:43,12:58,59,2.55,5,8,63,137.55
7/2/15,2015,S3,KEC,6,33229,3,1,2,1,2,1,3,691.13,628.3,3.57,2.64,14:53,15:08,82,3.35,24,22,7,138.35
7/2/15,2015,S3,NC53,0,0,0,0,0,0,0,0,0,2324.71,1382.26,5,5.1,16:07,16:22,91,21.65,18,14,73,217.65
7/2/15,2015,S3,NCRC-E,3,18880,3,1,1,2,1,2,3,691.13,628.3,2.71,2.69,15:41,15:56,56,0,10,32,19,117
7/2/15,2015,S3,NCRC-W,6,46410,4,1,2,2,2,2,4,753.96,565.47,5.43,4.5,15:18,15:33,26,0,5,16,267,314
7/2/15,2015,S3,OSEH,0,0,0,0,0,0,0,0,0,314.15,314.15,2.29,2.87,11:10,11:25,24,0,6,43,10,83
7/2/15,2015,S3,RH,10,45375,18,2,18,0,15,0,15,691.13,314.15,2.86,0.69,10:25,10:40,13,0,19,83,38,153
7/2/15,2015,S3,SS,3,8208,3,1,1,2,1,2,3,879.62,628.3,3.57,1.99,12:19,12:34,81,5,8,0,63,157
7/2/15,2015,S3,VD,6,40950,1,1,1,0,0,0, ,1319.43,1256.6,1.86,1.57,13:31,13:46,62,2.25,2,0,14,80.25
7/2/15,2015,S3,WT,0,0,0,0,0,0,0,0,0,502.64,439.81,2.71,1.89,11:55,12:10,140,6,40,1,33,220
8/4/15,2015,S5,AA,10,2093,6,3,5,1,3,1,4,565.47,251.32,3,3.11,11:45,11:58,31,4.2,0,12,245,292.2
8/4/15,2015,S5,ARB,0,0,0,0,0,0,0,0,0,376.98,125.66,2.43,3.05,12:44,12:57,141.1,0,156.8,16,12,325.9
8/4/15,2015,S5,BB,10,8844.5,12,2,6,6,6,5,11,502.64,376.98,2.29,1.5,15:41,15:54,102,5.4,60,44,43,254.4
